,id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end
0,171343,300071.XSHE,2020-03-31,2020-04-28,2020-03-31,244331929.3,,,,,,,,,,,,4969015.08,249300944.38,186405396.35,,,,,,38574852.18,6932463.43,43224889.22,275137601.18,-25836656.8,,,,,,,18938.05,,,6500000.0,,6518938.05,-6518938.05,,,,,5600000.0,5600000.0,15237373.5,9574545.18,,,24811918.68,-19211918.68,,-51567513.53,67302026.14,15734512.61
0,171514,300072.XSHE,2020-03-31,2020-04-28,2020-03-31,1429299849.79,,,,,,,,,,,26845190.94,69960143.75,1526105184.48,1529687440.76,,,,,,189034493.06,195194948.74,84223164.58,1998140047.14,-472034862.66,,,,,,,22943579.91,,,3000000.0,,25943579.91,-25943579.91,,,724000000.0,,11303944.67,735303944.67,947239413.99,45247655.06,,84555161.82,1077042230.87,-341738286.2,38841693.35,-800875035.42,3437794509.81,2636919474.39
0,190383,300072.XSHE,2020-06-30,2020-08-28,2020-06-30,1275179616.09,,,,,,,,,,,74749779.89,-19934199.18,1329995196.8,1066439156.93,,,,,,175891630.54,42622193.7,66771412.61,1351724393.78,-21729196.98,,,,,,,60964337.39,,,0.0,,60964337.39,-36581957.3,,,407800000.0,,156095073.93,563895073.93,532072552.04,75213126.45,,158285194.04,765570872.53,-201675798.6,-34761528.94,-294748481.82,2636919474.39,2342170992.57
0,168623,300073.XSHE,2019-12-31,2020-04-16,2019-12-31,457412561.08,,,,,,,,,,,14390272.63,3476247.53,475279081.24,225417078.52,,,,,,27436631.88,13630776.05,16145795.82,282630282.27,192648798.97,,0.0,12200.0,,665926383.57,665938583.57,138585084.29,,,,530666220.0,669251304.29,-3312720.72,,,3408547.01,,,403408547.01,5780823.33,94555.42,,,5875378.75,397533168.26,-1422296.82,585446949.69,703092061.77,1288539011.46
0,168552,300073.XSHE,2020-03-31,2020-04-16,2020-03-31,287251068.13,,,,,,,,,,,27599385.63,62220208.76,377070662.52,325230600.62,,,,,,41771783.8,8478902.26,24250382.97,399731669.65,-22661007.13,20899967.46,15071625.26,,,1067527575.34,1103499168.06,81146647.96,,,,1384000000.0,1465146647.96,-361647479.9,,,3600948.0,,,3600948.0,28451348.76,540255.82,,,28991604.58,-25390656.58,3164839.99,-406534303.62,1288539011.46,882004707.84
0,44189,300074.XSHE,2015-06-30,2015-08-15,2015-06-30,29712162.0,,,,,,,,,,,2648776.0,10847117.0,43208056.0,-2011640.375,,,,,,23139032.0,7326097.5,20458366.0,48911856.0,-5703800.5,,,50000.0,,0.0,50000.0,15338823.0,,,33000000.0,60000000.0,108338824.0,-108288824.0,,,4623657.0,,,4623657.0,,16961.1992,,,16961.1992,4606696.0,,-109385928.0,-5830241.5,-115216168.0
0,147082,300074.XSHE,2019-06-30,2019-08-22,2019-06-30,85155261.69,,,,,,,,,,,5722703.18,-6724209.15,84153755.72,44596328.01,,,,,,17501618.64,5912283.9,14830838.0,82841068.55,1312687.17,200093453.25,572411.51,,,,200665864.76,1900705.73,222000000.0,,,,223904413.49,-23238548.73,,,,,,,,0.0,,17619709.0,17619709.0,-17619709.0,,-39545570.56,62985862.66,23440292.1
0,216536,300074.XSHE,2020-12-31,2021-04-20,2020-12-31,171792335.81,,,,,,,,,,,2955092.88,5748158.18,180495586.87,47022177.89,,,,,,18522508.22,4545873.86,8990818.68,79081378.65,101414208.22,0.0,0.0,-1325.39,,,2619430.77,24826537.09,0.0,,,,114226537.09,-111607106.32,12924000.0,,2000000.0,,,2000000.0,,2285587.51,,0.0,4285587.51,-2285587.51,,-12478485.61,293254418.19,280779067.97
0,98924,300076.XSHE,2016-09-30,2016-10-29,2016-09-30,44837736.0,,,,,,,,,,,,18102798.0,62940532.0,10386786.0,,,,,,15177912.0,4641733.0,12557706.0,42764136.0,20176398.0,,88767.1172,8462595.0,,,8551362.0,3766750.5,49896080.0,,,,53662832.0,-45111468.0,,,-8000000.0,,,-8000000.0,,18366.6699,,,18366.6699,-8018366.5,,-32953438.0,,-32953438.0
0,103719,300076.XSHE,2017-03-31,2017-04-27,2017-03-31,33579564.0,,,,,,,,,,,920028.5625,1322614.875,35822208.0,28287896.0,,,,,,11036606.0,4594258.5,12094145.0,56012904.0,-20190698.0,18000000.0,173808.2188,,,,18173808.0,4465464.5,3000000.0,,,21000000.0,28465464.0,-10291656.0,,,,,,,,,,,,,,-30482354.0,435880352.0,405398016.0
