,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,105794,300143.XSHE,2016-12-31,2017-04-07,2016-12-31,0.0855,16077089.51,32047084.15,-7117233.82,1.12,0.75,0.95,17.84,40.0,76.48,18.3,17.84,6.18,6.05,2.83,104.63,-23.24,66.57,130.68,71.73,304.94,68.29,10.85,68.29,10.85,3435.24,69.28,724.47,65.39,2686.06,41.25
0,108042,300143.XSHE,2017-03-31,2017-04-26,2017-03-31,0.1772,9650682.0,13655392.0,22841652.0,2.2769999999999997,0.4301,2.0501,131.5307,75.6905,64.8454,93.9583,131.5307,0.7622,21.4929,-2.3886,24.7766,41.4443,18.889,136.7175,4.761,13.543,-52.0401,-71.4907,-52.0401,-71.4907,314.2054,46.398999999999994,453.5512,110.2394,527.5763,111.5412
0,125050,300143.XSHE,2018-03-31,2018-04-26,2018-03-31,0.124,35949950.4,54609562.37,437260.27,1.4898,1.5007,1.6531,30.5752,57.6399,61.8321,38.4735,30.5752,0.1924,15.3944,0.4772,100.8615,0.8076,100.7305,55.2866,-8.7869,-23.0217,268.3397,68.7551,268.3397,68.7551,50.8254,125.8262,-14.3769,2026.8725,-30.1466,1115.3162
0,261778,300143.XSHE,2019-09-30,2019-10-29,2019-09-30,0.0283,13598597.0,25666927.03,2801917.04,0.74,0.66,0.67,11.93,52.99,82.58,17.61,11.93,4.79,24.67,4.83,101.4,11.07,88.13,82.65,13.52,77.59,8.81,-0.49,8.81,-0.49,-23.45,-40.71,-27.24,-29.59,-30.53,-32.15
0,45936,300147.XSHE,2015-09-30,2015-10-24,2015-09-30,0.08,45819088.57,54176562.81,74510.45,1.55,1.37,1.2,17.11,45.79,84.04,15.98,17.11,15.75,11.02,-0.42,90.28,0.12,88.08,116.39,-6.52,-40.85,-14.91,-9.43,-14.91,-9.43,-5.34,-9.67,-12.17,-3.06,-16.19,-4.4
0,255482,300147.XSHE,2019-06-30,2019-08-30,2019-06-30,0.0378,-2503150.3,417432.05,20893676.56,0.72,-0.07,0.48,6.12,32.87,99.94,3.93,6.12,16.45,7.68,6.27,1.59,79.73,-10.02,109.82,19.98,32154.51,3.82,2.89,3.82,2.89,90.14,-45.12,5.78,-5.49,-10.13,-19.27
0,297905,300147.XSHE,2019-12-31,2020-05-20,2019-12-31,-0.0237,-66859465.08,-18286381.74,7096980.95,-0.45,-1.91,-0.14,-1.47,27.51,102.28,-0.76,-1.47,12.11,8.71,4.75,178.46,-69.26,426.47,68.27,4.38,-192.5,21.61,21.96,21.61,21.96,-114.7,-113.86,60.89,-122.14,55.77,-143.2
0,328700,300147.XSHE,2020-06-30,2020-08-28,2020-06-30,0.0913,46850560.49,73783239.41,6091105.52,1.68,1.3,0.78,7.45,25.61,92.76,8.56,7.45,6.95,7.77,2.16,92.55,7.64,77.61,101.9,28.8,397.6,51.62,27.67,51.62,27.67,230.67,-3.01,84.49,-7.22,141.74,-25.26
0,335451,300147.XSHE,2020-09-30,2020-10-24,2020-09-30,0.0102,-1466197.2,10199499.33,-4108973.83,0.19,-0.04,0.23,3.3,22.47,98.5,3.4,3.3,10.64,6.08,1.83,50.52,-20.35,-21.72,99.25,18.93,1258.59,2.98,-33.44,2.98,-33.44,-47.86,-73.53,-58.01,-70.53,-81.4,-88.82
0,99438,300148.XSHE,2016-06-30,2016-08-23,2016-06-30,0.122,61347536.88,76637756.84,-2189212.44,3.15,3.13,3.03,36.1,59.14,57.1,41.68,36.1,6.66,9.44,-0.49,102.36,-2.92,99.23,61.92,25.21,58.76,29.34,196.0,29.34,196.0,113.29,610.99,87.69,655.25,83.65,491.82
0,261348,300149.XSHE,2019-09-30,2019-10-28,2019-09-30,0.0639,29201335.57,32869644.16,422299.93,1.44,1.32,0.89,9.27,38.38,90.3,9.98,9.27,4.12,17.59,2.82,96.98,1.25,91.42,91.32,11.18,115.34,-5.91,6.73,-5.91,6.73,-53.73,37.23,-45.8,36.03,-45.04,34.85
0,376543,300149.XSHE,2020-12-31,2021-04-28,2020-12-31,0.1426,15745734.96,67351050.04,79570670.09,2.97,0.66,1.71,17.27,44.99,83.66,25.09,17.27,1.89,15.17,4.72,69.04,81.57,22.1,110.29,32.24,197.34,10.32,3.28,10.32,3.28,117.53,98.8,26.4,68.02,23.36,67.96
0,260786,300150.XSHE,2019-09-30,2019-10-25,2019-09-30,0.0177,9141119.18,15356636.78,-679020.7,0.54,0.47,0.54,6.11,39.01,92.36,6.55,6.11,14.53,7.04,0.43,111.7,-4.94,88.11,87.43,-12.52,-163.86,48.47,71.3,48.47,71.3,948.83,156.38,2632.83,154.23,396.33,150.95
0,46022,300151.XSHE,2016-03-31,2016-04-27,2016-03-31,0.0133,6662097.58,6264044.36,1722058.1,0.83,0.83,0.68,5.27,23.86,94.91,6.49,5.27,2.43,15.49,0.02,75.25,20.69,99.79,113.8,-0.69,-13.54,1.5,-13.31,1.5,-13.31,-27.98,213.39,-30.61,135.83,-32.49,180.0
0,254480,300151.XSHE,2019-06-30,2019-08-27,2019-06-30,0.0352,16058881.35,17027282.21,1886428.71,2.01,1.82,1.7,10.32,25.45,89.88,12.02,10.32,3.27,10.06,-3.11,85.11,9.43,90.89,102.1,26.4,260.8,9.42,1.08,9.42,1.08,27.67,37.96,27.6,36.3,25.95,35.0
0,290707,300151.XSHE,2019-12-31,2020-04-25,2019-12-31,0.0204,9691289.09,10905952.69,2269253.57,1.16,1.1,0.92,4.97,27.83,94.44,4.39,4.97,3.73,11.28,1.07,146.92,30.57,94.39,102.57,7.15,128.46,-4.96,6.06,-4.96,6.06,-17.84,-63.79,-23.65,-52.61,-20.55,-50.56
0,99442,300152.XSHE,2016-06-30,2016-08-26,2016-06-30,0.0394,23566057.37,40998165.03,,1.9,1.59,1.11,11.14,28.61,87.76,12.24,11.14,2.81,8.87,1.46,89.37,,83.98,105.4,-18.71,-152.81,40.54,168.53,40.54,168.53,37.44,273.8,112.36,335.54,57.44,276.52
0,124737,300152.XSHE,2017-12-31,2018-04-25,2017-12-31,0.0394,-38773189.79,-43037735.13,72285044.64,2.0319,-2.8049,0.6959,11.1318,18.0949,121.6658,32.7615,11.1318,4.2949,24.9214,5.8988,-138.9861,233.4374,-138.0425,93.9661,-39.5325,182.4645,10.7909,65.5886,10.7909,65.5886,153.2339,385.2242,120.76,210.2901,127.5841,276.2841
0,129982,300152.XSHE,2018-06-30,2018-08-25,2018-06-30,-0.034,-32161167.71,-53554841.02,8427232.69,-1.77,-2.35,-0.89,-16.55,28.65,132.37,-22.43,-16.55,1.56,19.25,4.03,148.82,-23.42,132.76,93.03,5.37,-16.59,19.61,114.56,19.61,114.56,-494.32,-64.27,-517.29,-32.05,-2357.47,-61.93
0,132486,300152.XSHE,2018-09-30,2018-10-25,2018-09-30,-0.312,-194811306.24,-183063910.47,-35849684.45,-17.87,-15.66,-8.09,-273.82,-0.33,318.71,-256.19,-273.82,9.37,29.41,-1.04,73.03,14.3,87.65,131.57,-55.64,25.44,-30.23,-49.41,-30.23,-49.41,-839.8,-477.77,-1043.1,-737.01,-1294.87,-817.42
0,245493,300152.XSHE,2018-12-31,2019-04-26,2018-12-31,-0.3006,98957289.47,-191507602.73,-108832.04,-23.38,10.8,-9.99,-115.94,8.29,195.68,-93.36,-115.94,5.55,28.32,1.88,100.32,0.06,-46.18,40.57,15.43,-16.12,0.76,139.13,0.76,139.13,-651.02,12.86,-5784.47,-1.25,-22682.53,3.59
